Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-04-20,F (Jan 2027),0.0000,22.3000,23.5000,0.0000,22.90,0,0,0,0
2026-04-21,F (Jan 2027),0.0000,22.9500,23.2500,0.0000,23.10,0.20,0,0,0
2026-04-22,F (Jan 2027),0.0000,22.8000,23.5000,0.0000,23.125,0.025,0,0,0
2026-04-23,F (Jan 2027),0.0000,22.7500,23.4000,0.0000,23.025,-0.100,0,0,0
2026-04-24,F (Jan 2027),23.2000,23.2500,23.2000,23.2500,23.25,0.225,15,0,13
2026-04-27,F (Jan 2027),0.0000,23.0500,23.2000,0.0000,23.225,-0.025,0,0,13
2026-04-28,F (Jan 2027),0.0000,23.0500,23.3500,0.0000,23.225,0.000,0,0,13
2026-04-29,F (Jan 2027),0.0000,23.0500,23.1000,0.0000,23.05,-0.175,0,0,13
2026-04-30,F (Jan 2027),23.1000,23.1000,23.1000,23.1000,23.075,0.025,6,0,17
2026-05-01,F (Jan 2027),22.9500,23.0600,22.9500,23.0600,22.95,-0.125,14,0,31
2026-05-04,F (Jan 2027),22.9500,23.1000,22.9500,22.9500,23.125,0.175,2,0,32
2026-05-05,F (Jan 2027),23.0000,23.2500,23.0000,23.1000,23.275,0.150,3,0,35
2026-05-06,F (Jan 2027),23.0000,23.1000,22.9800,23.0000,22.975,-0.300,133,0,157
2026-05-07,F (Jan 2027),22.9500,23.0000,22.9500,23.0000,22.95,-0.025,6,0,162
2026-05-08,F (Jan 2027),23.0000,23.0000,22.9500,23.0000,22.975,0.025,27,0,188
2026-05-11,F (Jan 2027),23.1000,23.2500,23.0500,23.2500,23.20,0.225,24,0,206
2026-05-12,F (Jan 2027),23.2500,23.2500,23.1500,23.1500,23.125,-0.075,3,0,209
2026-05-13,F (Jan 2027),23.2500,23.3500,23.2000,23.3000,23.35,0.225,36,0,234
2026-05-14,F (Jan 2027),23.2500,23.4000,23.2500,23.2500,23.225,-0.125,136,0,367
2026-05-15,F (Jan 2027),23.3500,23.4500,23.2000,23.2000,23.20,-0.025,84,0,448
2026-05-18,F (Jan 2027),23.1500,23.2000,23.0200,23.0500,23.15,-0.05,294,0,692
2026-05-19,F (Jan 2027),23.0000,23.1000,22.9300,23.1000,23.0665,-0.0835,49,0,718
2026-05-20,F (Jan 2027),23.1000,23.1000,22.9500,22.9500,22.925,-0.1415,50,0,755
2026-05-21,F (Jan 2027),22.9500,22.9500,22.7900,22.8000,22.825,-0.100,34,0,772
2026-05-22,F (Jan 2027),22.8500,22.9500,22.8500,22.9500,22.8736,0.0486,100,0,845
2026-05-26,F (Jan 2027),22.7500,22.8000,22.6500,22.7500,22.80,-0.0736,27,0,866
2026-05-27,F (Jan 2027),22.8000,22.8000,22.6500,22.6500,22.625,-0.175,16,0,878
2026-05-28,F (Jan 2027),22.6500,22.7000,22.5000,22.5500,22.55,-0.075,48,0,902
2026-05-29,F (Jan 2027),22.5500,22.5500,22.4500,22.4500,22.45,-0.10,21,0,914
2026-06-01,F (Jan 2027),22.5000,22.6000,22.4500,22.5500,22.55,0.10,85,0,958
2026-06-02,F (Jan 2027),22.6000,22.6000,22.5000,22.5000,22.525,-0.025,37,0,979
2026-06-03,F (Jan 2027),22.5000,22.6100,22.5000,22.6100,22.625,0.100,75,0,992
2026-06-04,F (Jan 2027),22.6200,22.7000,22.4700,22.4800,22.475,-0.150,10,0,984
2026-06-05,F (Jan 2027),22.4000,22.8500,22.4000,22.6500,22.625,0.150,61,0,988
2026-06-08,F (Jan 2027),22.6500,22.6500,22.3000,22.5500,22.4702,-0.1548,101,0,1028
2026-06-09,F (Jan 2027),22.4000,22.8400,22.3800,22.5500,22.575,0.1048,146,0,1070
2026-06-10,F (Jan 2027),22.5500,22.8300,22.5300,22.8300,22.7573,0.1823,71,0,1065
2026-06-11,F (Jan 2027),22.8000,23.0500,22.4500,22.5000,22.4487,-0.3086,106,0,1137
2026-06-12,F (Jan 2027),22.4000,22.5500,22.3800,22.3800,22.40,-0.0487,75,0,1154
