"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2026","30,775.75","30,775.75","30,911.25","30,342.25","6.65K","1.40%"
"06/14/2026","30,349.50","30,349.50","30,390.00","30,262.00","15.18K","2.32%"
"06/12/2026","29,662.00","29,456.75","29,760.00","29,230.00","499.15K","0.67%"
"06/11/2026","29,464.75","28,455.00","29,544.25","28,265.75","738.25K","3.19%"
"06/10/2026","28,554.00","29,094.75","29,250.00","28,409.00","772.66K","-1.93%"
"06/09/2026","29,117.00","29,435.00","29,848.25","28,227.75","1.08M","-1.15%"
"06/08/2026","29,454.75","28,844.50","29,743.00","28,822.25","846.02K","1.48%"
"06/05/2026","29,026.50","30,414.00","30,422.00","28,781.25","1.04M","-4.79%"
"06/04/2026","30,488.25","30,453.00","30,603.25","30,151.00","684.30K","-0.47%"
"06/03/2026","30,633.25","30,741.75","30,807.75","30,478.25","638.77K","-0.26%"
"06/02/2026","30,712.75","30,544.75","30,763.25","30,317.75","525.21K","0.48%"
"06/01/2026","30,566.25","30,415.50","30,693.00","30,291.50","568.79K","0.53%"
"05/29/2026","30,405.25","30,328.00","30,536.00","30,216.50","578.99K","0.32%"
"05/28/2026","30,307.00","30,120.00","30,344.50","29,763.00","564.55K","0.86%"
"05/27/2026","30,047.25","30,050.00","30,379.00","29,877.50","637.38K","-0.09%"
"05/26/2026","30,073.50","29,676.25","30,118.75","29,676.25","668.52K","1.74%"
"05/22/2026","29,558.75","29,444.00","29,749.00","29,436.00","495.13K","0.38%"
"05/21/2026","29,447.25","29,253.00","29,554.00","29,113.00","612.22K","0.19%"
"05/20/2026","29,390.50","28,929.75","29,397.50","28,797.25","606.38K","1.61%"
"05/19/2026","28,924.25","29,100.00","29,188.50","28,663.00","717.47K","-0.59%"
"05/18/2026","29,096.00","29,135.00","29,419.75","28,814.75","854.44K","-0.46%"
"05/15/2026","29,231.75","29,690.00","29,734.00","29,089.75","750.78K","-1.54%"
"05/14/2026","29,687.75","29,537.00","29,782.00","29,448.25","611.77K","0.71%"
"05/13/2026","29,479.25","29,143.75","29,565.50","29,055.50","570.74K","1.06%"
"05/12/2026","29,170.00","29,399.00","29,455.75","28,742.00","719.82K","-0.86%"
"05/11/2026","29,424.00","29,294.00","29,480.00","29,225.75","558.72K","0.31%"
"05/08/2026","29,332.50","28,582.00","29,386.75","28,541.00","543.82K","2.27%"
