DATE,OVX
09/18/2009,41.670000
09/21/2009,41.400000
09/22/2009,40.380000
09/23/2009,41.230000
09/24/2009,44.280000
09/25/2009,44.270000
09/28/2009,43.910000
09/29/2009,43.740000
09/30/2009,45.230000
10/01/2009,45.590000
10/02/2009,45.220000
10/05/2009,45.140000
10/06/2009,45.470000
10/07/2009,45.250000
10/08/2009,43.360000
10/09/2009,43.600000
10/12/2009,43.200000
10/13/2009,41.540000
10/14/2009,42.090000
10/15/2009,40.090000
10/16/2009,36.910000
10/19/2009,38.410000
10/20/2009,39.060000
10/21/2009,39.960000
10/22/2009,40.470000
10/23/2009,39.500000
10/26/2009,40.570000
10/27/2009,39.820000
10/28/2009,41.240000
10/29/2009,39.410000
10/30/2009,41.130000
11/02/2009,41.780000
11/03/2009,41.580000
11/04/2009,40.600000
11/05/2009,38.980000
11/06/2009,38.700000
11/09/2009,39.060000
11/10/2009,38.120000
11/11/2009,37.890000
11/12/2009,38.780000
11/13/2009,38.670000
11/16/2009,37.560000
11/17/2009,37.010000
11/18/2009,35.690000
11/19/2009,36.990000
11/20/2009,36.800000
11/23/2009,35.670000
11/24/2009,37.060000
11/25/2009,36.570000
11/27/2009,43.360000
11/30/2009,41.170000
12/01/2009,40.230000
12/02/2009,40.290000
12/03/2009,40.560000
12/04/2009,41.180000
12/07/2009,42.490000
12/08/2009,42.190000
12/09/2009,43.080000
12/10/2009,42.900000
12/11/2009,43.050000
12/14/2009,42.160000
12/15/2009,41.540000
12/16/2009,39.890000
12/17/2009,39.080000
12/18/2009,40.580000
12/21/2009,39.250000
12/22/2009,37.810000
12/23/2009,36.000000
12/24/2009,35.180000
12/28/2009,36.480000
12/29/2009,35.780000
12/30/2009,34.950000
12/31/2009,36.260000
01/04/2010,35.440000
01/05/2010,34.270000
01/06/2010,34.400000
01/07/2010,33.610000
01/08/2010,31.340000
01/11/2010,30.000000
01/12/2010,31.610000
01/13/2010,32.750000
01/14/2010,30.860000
01/15/2010,29.800000
01/19/2010,28.520000
01/20/2010,31.150000
01/21/2010,32.510000
01/22/2010,34.850000
01/25/2010,33.330000
01/26/2010,33.780000
01/27/2010,34.230000
01/28/2010,33.280000
01/29/2010,34.050000
02/01/2010,32.450000
02/02/2010,32.440000
02/03/2010,34.650000
02/04/2010,38.510000
02/05/2010,39.990000
02/08/2010,39.530000
02/09/2010,38.740000
02/10/2010,37.910000
02/11/2010,36.040000
02/12/2010,36.040000
02/16/2010,36.150000
02/17/2010,35.380000
02/18/2010,33.360000
02/19/2010,34.630000
02/22/2010,33.680000
02/23/2010,34.880000
02/24/2010,33.460000
02/25/2010,33.560000
02/26/2010,32.820000
03/01/2010,34.290000
03/02/2010,34.880000
03/03/2010,34.530000
03/04/2010,33.540000
03/05/2010,32.670000
03/08/2010,33.220000
03/09/2010,33.190000
03/10/2010,33.280000
03/11/2010,32.700000
03/12/2010,32.110000
03/15/2010,33.380000
03/16/2010,33.220000
03/17/2010,32.470000
03/18/2010,31.730000
03/19/2010,31.850000
03/22/2010,29.570000
03/23/2010,29.230000
03/24/2010,29.340000
03/25/2010,30.130000
03/26/2010,30.100000
03/29/2010,30.170000
03/30/2010,29.560000
03/31/2010,29.610000
04/01/2010,29.240000
04/05/2010,29.650000
04/06/2010,28.800000
04/07/2010,29.040000
04/08/2010,29.250000
04/09/2010,29.150000
04/12/2010,27.020000
04/13/2010,27.260000
04/14/2010,27.140000
04/15/2010,26.900000
04/16/2010,27.160000
04/19/2010,29.020000
04/20/2010,27.800000
04/21/2010,27.670000
04/22/2010,27.650000
04/23/2010,26.680000
04/26/2010,28.020000
04/27/2010,28.020000
04/28/2010,30.680000
04/29/2010,29.530000
04/30/2010,30.250000
05/03/2010,30.180000
05/04/2010,32.670000
05/05/2010,35.610000
05/06/2010,39.730000
05/07/2010,42.610000
05/10/2010,40.050000
05/11/2010,38.870000
05/12/2010,36.960000
05/13/2010,36.460000
05/14/2010,40.460000
05/17/2010,41.130000
05/18/2010,42.960000
05/19/2010,44.030000
05/20/2010,46.460000
05/21/2010,44.570000
05/24/2010,44.900000
05/25/2010,45.800000
05/26/2010,43.450000
05/27/2010,40.700000
05/28/2010,40.490000
06/01/2010,46.060000
06/02/2010,42.920000
06/03/2010,41.720000
06/04/2010,47.150000
06/07/2010,46.780000
06/08/2010,43.850000
06/09/2010,42.550000
06/10/2010,38.910000
06/11/2010,39.370000
06/14/2010,39.720000
06/15/2010,37.720000
06/16/2010,37.380000
06/17/2010,36.290000
06/18/2010,35.250000
06/21/2010,35.360000
06/22/2010,35.470000
06/23/2010,36.760000
06/24/2010,37.410000
06/25/2010,35.820000
06/28/2010,36.710000
06/29/2010,39.160000
06/30/2010,39.500000
07/01/2010,41.220000
07/02/2010,39.190000
07/06/2010,40.240000
07/07/2010,37.750000
07/08/2010,35.780000
07/09/2010,34.570000
07/12/2010,33.200000
07/13/2010,32.870000
07/14/2010,33.160000
07/15/2010,33.240000
07/16/2010,34.130000
07/19/2010,34.030000
07/20/2010,32.430000
07/21/2010,33.880000
07/22/2010,33.590000
07/23/2010,32.440000
07/26/2010,33.070000
07/27/2010,32.910000
07/28/2010,33.790000
07/29/2010,31.570000
07/30/2010,31.520000
08/02/2010,31.620000
08/03/2010,32.090000
08/04/2010,31.760000
08/05/2010,31.320000
08/06/2010,30.900000
08/09/2010,31.310000
08/10/2010,32.080000
08/11/2010,34.180000
08/12/2010,34.840000
08/13/2010,34.620000
08/16/2010,35.410000
08/17/2010,33.560000
08/18/2010,33.900000
08/19/2010,34.180000
08/20/2010,33.730000
08/23/2010,33.560000
08/24/2010,34.840000
08/25/2010,33.240000
08/26/2010,33.080000
08/27/2010,32.130000
08/30/2010,32.990000
08/31/2010,34.510000
09/01/2010,33.250000
09/02/2010,32.660000
09/03/2010,32.110000
09/07/2010,33.280000
09/08/2010,32.820000
09/09/2010,31.810000
09/10/2010,31.370000
09/13/2010,31.720000
09/14/2010,32.070000
09/15/2010,31.970000
09/16/2010,31.690000
09/17/2010,31.080000
09/20/2010,31.850000
09/21/2010,32.810000
09/22/2010,31.670000
09/23/2010,31.400000
09/24/2010,29.880000
09/27/2010,30.870000
09/28/2010,30.820000
09/29/2010,30.800000
09/30/2010,30.040000
10/01/2010,30.460000
10/04/2010,31.370000
10/05/2010,31.880000
10/06/2010,30.930000
10/07/2010,32.290000
10/08/2010,32.220000
10/11/2010,33.260000
10/12/2010,33.260000
10/13/2010,33.190000
10/14/2010,32.460000
10/15/2010,33.420000
10/18/2010,32.200000
10/19/2010,33.990000
10/20/2010,32.390000
10/21/2010,33.650000
10/22/2010,32.450000
10/25/2010,33.050000
10/26/2010,31.890000
10/27/2010,32.000000
10/28/2010,31.560000
10/29/2010,32.120000
11/01/2010,32.830000
11/02/2010,33.330000
11/03/2010,31.890000
11/04/2010,30.780000
11/05/2010,29.860000
11/08/2010,30.820000
11/09/2010,30.930000
11/10/2010,30.250000
11/11/2010,30.270000
11/12/2010,30.920000
11/15/2010,31.130000
11/16/2010,33.430000
11/17/2010,33.690000
11/18/2010,31.490000
11/19/2010,30.640000
11/22/2010,30.840000
11/23/2010,31.600000
11/24/2010,30.030000
11/26/2010,28.820000
11/29/2010,30.750000
11/30/2010,31.890000
12/01/2010,31.170000
12/02/2010,30.900000
12/03/2010,31.700000
12/06/2010,31.500000
12/07/2010,32.170000
12/08/2010,30.960000
12/09/2010,30.410000
12/10/2010,30.360000
12/13/2010,29.250000
12/14/2010,29.000000
12/15/2010,28.460000
12/16/2010,27.930000
12/17/2010,26.820000
12/20/2010,26.610000
12/21/2010,25.830000
12/22/2010,25.500000
12/23/2010,25.420000
