detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 09:30:00  QQQ Open from_above bid  30595.00 |      3      2      1    0      0 |      22    -49    14    27 |   20.5 -204.0 -100.25
 09:30:01  QQQ Open from_below ask  30594.25 |      7      7      0    0      0 |     107     37    48    40 |  21.25 -203.25  -98.5
 09:30:01  QQQ Open from_below ask  30594.00 |      7      7      0    0      0 |     -37   -107    49    40 |   21.5 -203.0 -98.25
 09:30:20  QQQ Open from_below ask  30594.00 |      8      7      1    0      0 |    -640   -777    37    14 |   21.5 -203.0 -120.25
 09:30:20  QQQ Open from_above bid  30595.00 |      9      8      1    0      0 |    -645   -792    41    21 |   20.5 -204.0 -121.25
 09:30:23   ONH/PMH from_below ask  30612.00 |     12      8      4    0      0 |    -529   -671     8     0 |    3.5 -221.0 -138.5
 09:30:25       MHP from_above bid  30611.00 |      6      5      1    0      0 |    -526   -663     6     1 |    4.5 -220.0 -144.5
 09:30:26   ONH/PMH from_above bid  30612.50 |     11     10      1    0      0 |    -516   -653    19    13 |    2.0 -221.5 -143.25
 09:30:26       MHP from_above bid  30611.50 |     17     16      1    0      0 |    -512   -649    10     7 |    3.0 -220.5 -142.25
 09:30:27       MHP from_below ask  30610.75 |     11      9      2    0      0 |    -485   -610    14    10 |   3.75 -219.75 -141.5
 09:30:29       MHP from_below ask  30610.75 |     13     10      3    0      0 |    -461   -578    19    10 |   3.75 -219.75 -141.75
 09:30:29       MHP from_below ask  30611.50 |     13     10      3    0      0 |    -461   -578    19    10 |    3.0 -220.5 -142.5
 09:30:29   ONH/PMH from_below ask  30612.25 |      9      9      0    0      0 |    -420   -537    27    20 |   2.25 -221.25 -143.25
 09:30:29       MHP from_below ask  30611.00 |     13     13      0    0      0 |    -420   -537    23    10 |    3.5 -220.0 -142.0
 09:30:29   ONH/PMH from_below ask  30612.00 |      9      9      0    0      0 |    -420   -537    27    20 |    2.5 -221.0 -143.0
 09:30:29       MHP from_below ask  30610.75 |     13     13      0    0      0 |    -447   -564    23    13 |   3.75 -219.75 -141.75
 09:30:29   ONH/PMH from_below ask  30612.50 |      9      9      0    0      0 |    -447   -564    27    22 |    2.0 -221.5 -143.5
 09:30:29       MHP from_above bid  30611.50 |      0      0      0    0      0 |    -447   -564    23    13 |    3.0 -220.5 -142.5
 09:30:29       MHP from_below ask  30611.00 |     13     13      0    0      0 |    -487   -604    23    16 |    3.5 -220.0 -142.0
 09:30:30       MHP from_above bid  30610.75 |      5      5      0    0      0 |    -459   -568    31    16 |   3.75 -219.75 -127.75
 09:30:30   ONH/PMH from_below ask  30612.75 |      8      8      0    0      0 |    -459   -568    37    22 |   1.75 -221.75 -129.75
