399 raw touches -> 30 visits, 09:30-12:00

     time     level   appr        px def |  wall  gap ice     cvd    c60  tBuy  tSel |         BOUNCE          BREAK
 09:30:00  QQQ Open  below  29718.75 ask |     6    0   0       5    269    72    13 | short TP(09:30:05) long SL(09:30:05)
 09:30:05      BrZT  above  29688.50 bid |    18    5   0    -100    164     0    18 | long SL(09:30:45) short TP(09:30:45)
 09:31:35      BrZT  below  29688.00 ask |     6    1   0    -419   -399     6     0 | short SL(09:31:50) long TP(09:31:50)
 09:31:47  QQQ Open  below  29718.50 ask |     8    0   0    -360   -124     4     1 | short SL(09:32:10) long TP(09:32:10)
 09:31:50       BZB  below  29729.25 ask |    18    0   1    -272     -2     5     0 | short SL(09:32:15) long TP(09:32:15)
 09:33:17  QQQ Open  above  29718.25 bid |     4    0   0    -248    -95     9    29 | long TP(09:34:31) short SL(09:34:31)
 09:33:27       BZB  below  29729.00 ask |    20    0   0    -116     47    23    25 | short SL(09:34:38) long TP(09:34:38)
 09:35:54       BZB  above  29730.00 bid |    15    0   0     233     77     0    14 | long SL(09:36:44) short TP(09:36:44)
 09:35:58  QQQ Open  above  29719.00 bid |    13    0   0     108    -68     0     5 | long SL(09:36:53) short TP(09:36:53)
 09:36:44      BrZT  above  29688.50 bid |    17    3   0     230   -100     0    12 | long TP(09:37:25) short SL(09:37:25)
 09:37:25       BZB  below  29729.25 ask |    14    0   0     455    196     8     0 | short SL(09:39:18) long TP(09:39:18)
 09:37:44  QQQ Open  above  29718.25 bid |     4    0   0     513    231    56    43 | long TP(09:38:44) short SL(09:38:44)
 09:45:02       BZB  above  29730.00 bid |    14    0   0     906   -182     0     4 | long TP(09:45:13) short SL(09:45:13)
 11:24:14       BZB  above  29730.00 bid |    29    0   0    3429     63     4    59 | long TP(11:33:12) short SL(11:33:12)
 11:25:09  QQQ Open  above  29719.25 bid |    48    0   0    3310   -121     2     6 | long TP(11:31:53) short SL(11:31:53)
 11:25:50       BZB  below  29729.00 ask |    25    0   0    3369     74    13     0 | short SL(11:33:12) long TP(11:33:12)
 11:27:29       BZB  above  29730.00 bid |    31    0   0    3476    -11     0     8 | long TP(11:33:12) short SL(11:33:12)
 11:28:03  QQQ Open  above  29719.25 bid |    22    0   1    3436    -66     0     1 | long TP(11:31:53) short SL(11:31:53)
 11:29:20       BZB  below  29729.00 ask |    24    0   0    3433     14     3     0 | short SL(11:33:12) long TP(11:33:12)
 11:30:07  QQQ Open  above  29719.00 bid |    23    0   0    3434      4     0     4 | long TP(11:31:53) short SL(11:31:53)
 11:38:17       BZB  above  29730.00 bid |    20    0   0    3574   -262     0     9 | long TP(11:51:43) short SL(11:51:43)
 11:38:24  QQQ Open  above  29719.25 bid |    24    2   0    3530   -331     0    15 | long TP(11:51:34) short SL(11:51:34)
 11:40:01  QQQ Open  below  29718.25 ask |    15    0   0    3324     19    19    18 | short SL(11:48:38) long TP(11:48:38)
 11:41:28       BZB  below  29729.25 ask |    20    0   0    3322     80    12     1 | short SL(11:51:38) long TP(11:51:38)
 11:42:04  QQQ Open  above  29719.25 bid |    21    0   0    3366    131     0     2 | long TP(11:51:34) short SL(11:51:34)
 11:42:59       BZB  below  29729.25 ask |    15    0   0    3399     15    79    61 | short SL(11:51:38) long TP(11:51:38)
 11:44:37       BZB  above  29730.00 bid |    18    0   0    3397    -41    22    51 | long TP(11:51:43) short SL(11:51:43)
 11:46:09       BZB  below  29729.00 ask |     5    0   0    3332    -49    36    44 | short SL(11:51:38) long TP(11:51:38)
 11:47:59       BZB  above  29730.00 bid |    15    0   0    3364     34    12    11 | long TP(11:51:43) short SL(11:51:43)
 11:49:39       BZB  above  29730.00 bid |    27    0   0    3662     70     0     2 | long TP(11:51:43) short SL(11:51:43)
